"link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODIwMDMwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,Pessoa Desenvolvedora Full Stack C# (C-Sharp),MJV Technology & Innovation,"SQL, ETL, SQL Server, Docker"
https://suzano.gupy.io/job/eyJqb2JJZCI6Nzk5NzM1OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Sênior,PESQUISADOR(A) SR I,Suzano,ETL
https://www.netvagas.com.br/empresa/anuncios/a1154813/analista-de-bi-senior-3/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Sênior,Analista de bi sênior (3),Netvagas,"Power BI, Looker"
https://people.talentbrand.com.br/jobs/life-n-tech-especialista-infraestrutura-de-ti-ac62,Engenheiro de Dados,Sênior,Especialista Infraestrutura De Ti,Life n' Tech,Linux
https://www.netvagas.com.br/empresa/anuncios/a1115843/qa-analyst-remoto/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Não Informado,Qa analyst - remoto,Netvagas,Git
https://vivo.gupy.io/job/eyJqb2JJZCI6ODIwMDQ2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Sênior,Técnico (a) Telecom Corporativo Pleno,Vem Pra Vivo,ETL
https://ouribank.gupy.io/job/eyJqb2JJZCI6ODIwMzcxMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Sênior,Engenheiro de Software Sr (.Net),Ouribank,"SQL, AWS, MLOps, SQL Server, Docker"
https://fa-ewgu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/14809,Engenheiro de Dados,Pleno,Subscritor Pleno - Casualty (Responsabilidade Civil Geral),Chubb,Excel
https://carreiras.itau.com.br/vaga/sao-paulo/pessoa-analista-de-engenharia-de-processos-senior-gestao-de-conteudos/35299/73665665680,Engenheiro de Dados,Sênior,Pessoa Analista de Engenharia de Processos Sênior - Gestão de Conteúdos,Itaú,Excel
https://solucxtalentos.gupy.io/job/eyJqb2JJZCI6ODIwMzM4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Sênior,Estágio em Inteligência Comercial e Back Office,SoluCX - Solutions for Customer Experience,Power BI
